ID,Gene,In_Degree,Out_Degree,Betweenness,Closeness_Out,Closeness_In,PageRank
290,YDL063C,9,0,0.0,0.007204818222186087,0.0,0.00039368982600643216
291,YDL064W,3,0,0.0,0.0012410643367752184,0.0,0.00038186602871867915
292,YDL066W,16,0,0.0,0.009081281440296532,0.0,0.00040409452817478497
293,YDL067C,4,0,0.0,0.006565230341540905,0.0,0.0003884783014179048
294,YDL070W,6,0,0.0,0.005124082217788024,0.0,0.00038506964196457274
295,YDL072C,3,0,0.0,0.005013048905026666,0.0,0.00038428155184893205
296,YDL074C,2,0,0.0,0.005565228368988317,0.0,0.0003820471869338289
297,YDL075W,7,0,0.0,0.00586813196352383,0.0,0.0004880073675380607
298,YDL076C,10,0,0.0,0.0071046745639981096,0.0,0.00041976566281277705
299,YDL078C,13,0,0.0,0.008291604793314224,0.0,0.00041401223781547094
300,YDL081C,4,0,0.0,0.0015885623510722797,0.0,0.00038239489280029
301,YDL082W,6,0,0.0,0.004554364538624655,0.0,0.0003926710892057693
302,YDL083C,7,0,0.0,0.004596534580648957,0.0,0.00040564206027170267
303,YDL084W,6,0,0.0,0.006909670661095187,0.0,0.000403997021723456
304,YDL086W,6,0,0.0,0.006945037055514346,0.0,0.00038366221534922494
305,YDL088C,2,0,0.0,0.0007942811755361397,0.0,0.000381923408032743
306,YDL090C,1,0,0.0,0.0003971405877680699,0.0,0.00038877986257104835
307,YDL091C,2,0,0.0,0.0007942811755361397,0.0,0.00038451774976318266
308,YDL092W,3,0,0.0,0.004972482152172993,0.0,0.0003890805762290757
309,YDL095W,5,0,0.0,0.005350946866769784,0.0,0.00038505226757375833
310,YDL097C,2,0,0.0,0.0048575114665736175,0.0,0.00038100620307678404
311,YDL099W,1,0,0.0,0.004801997049812776,0.0,0.0003806733812926985
312,YDL100C,3,0,0.0,0.004914324466182666,0.0,0.0003813610490081033
313,YDL103C,4,0,0.0,0.005100485804532944,0.0,0.0003832497912659493
314,YDL106C,0,21,0.0,0.0,0.012567740119242719,0.0003802805224107413
315,YDL110C,10,0,0.0,0.008460213225340924,0.0,0.0004007565637002585
316,YDL113C,2,0,0.0,0.0008935663224781574,0.0,0.0003809591417602355
317,YDL115C,1,0,0.0,0.0003971405877680699,0.0,0.0003806263199761499
318,YDL117W,7,0,0.0,0.0076802577001147294,0.0,0.00041216006750964876
319,YDL120W,3,0,0.0,0.006414881555093403,0.0,0.00038198991702236094
320,YDL121C,4,0,0.0,0.007025440222212932,0.0,0.0004289864566438731
321,YDL122W,3,0,0.0,0.004020810926876727,0.0,0.00038190575942105673
322,YDL123W,8,0,0.0,0.00561357002587505,0.0,0.00039810250734159794
323,YDL124W,12,0,0.0,0.008951873044690473,0.0,0.00040200298591754074
324,YDL125C,11,0,0.0,0.008394604717592964,0.0,0.0003936042066669578
325,YDL126C,7,0,0.0,0.006059681551110153,0.0,0.0003872248809054561
326,YDL127W,2,0,0.0,0.0007942811755361397,0.0,0.00038484833370928907
327,YDL128W,18,0,0.0,0.009025922449274316,0.0,0.00042486776429100125
328,YDL130W,4,0,0.0,0.0015885623510722797,0.0,0.0003853114682257063
329,YDL131W,6,0,0.0,0.006800647739377259,0.0,0.00038836413920732344
330,YDL133W,1,0,0.0,0.004059659341629158,0.0,0.0003838901482554467
331,YDL134C,4,0,0.0,0.004059659341629158,0.0,0.00038223858120514225
332,YDL135C,2,0,0.0,0.0008935663224781574,0.0,0.0003809591417602355
333,YDL136W,4,0,0.0,0.007990090396762359,0.0,0.00040550966645695963
334,YDL137W,4,0,0.0,0.006414881555093403,0.0,0.0003856080789217
335,YDL140C,2,0,0.0,0.005013048905026666,0.0,0.0003840912524549378
336,YDL142C,2,0,0.0,0.0054568148293327005,0.0,0.00038238131387413377
337,YDL143W,5,0,0.0,0.005258689162170305,0.0,0.00038278775168224726
338,YDL145C,3,0,0.0,0.004972482152172993,0.0,0.00038149200188799013
339,YDL147W,2,0,0.0,0.004829594734007103,0.0,0.000384522405250026
340,YDL148C,4,0,0.0,0.005002080260221643,0.0,0.00038472803897593325
341,YDL155W,1,0,0.0,0.0003971405877680699,0.0,0.0003982235738602783
342,YDL157C,9,0,0.0,0.007825474763520832,0.0,0.0003903108077734501
343,YDL165W,4,0,0.0,0.0070036024980331185,0.0,0.00040349422411103367
344,YDL167C,3,0,0.0,0.005130313206898634,0.0,0.00038182188408427954
345,YDL168W,6,0,0.0,0.00571666315453902,0.0,0.0003907616678919528
346,YDL169C,4,0,0.0,0.00494323225716021,0.0,0.0003826711128460194
347,YDL170W,3,7,1.2036612399577119e-05,0.005041859530917623,0.00500397140587768,0.0003995574630706016
348,YDL171C,7,0,0.0,0.006546892226713928,0.0,0.000395221984473172
