"ORF","MEAN","MEDIAN","STD","IQR","STD.MeanNormalized","STD.MedianNormalized","IQR.MedianNormalized","FractionOutliers"
"YOR181W",52.2747035573123,52,15.6280212085606,18,0.298959537693534,0.300538869395396,0.346153846153846,0.0444664031620553
"YLR410W",99.5453795379538,89,30.3346665301838,45,0.304732039507851,0.340838949777346,0.50561797752809,0.0033003300330033
"YDL126C",838.609264853978,776,306.344419932457,160,0.365300543138882,0.394773737026362,0.206185567010309,0.104733131923464
"YMR242C",1874.7229020979,1785,490.3539021934,489,0.261560736066472,0.274708068455686,0.273949579831933,0.0743006993006993
"YPL061W",2267.75368898978,1851,1417.07446857574,645,0.624880239620293,0.765572376324009,0.348460291734198,0.136208853575482
"YLR333C",1599.00568181818,1635.5,300.20724538864,364.25,0.187746203032426,0.183556860525001,0.222714766126567,0.0170454545454545
"YEL046C",1375.08630609896,1477,417.534364223656,416,0.303642296757485,0.282690835628745,0.281651997291808,0.046029919447641
"YML073C",2427.58819395643,2326,786.2613490811,495.5,0.323885801981789,0.338031534428676,0.213026655202064,0.0976809557273366
"YDR155C",2826.6387887527,2692,717.964028586582,574.5,0.253999213285895,0.266702833798879,0.213410104011887,0.0547945205479452
"YOR375C",579.904255319149,573,112.099246414282,139.25,0.193306473242878,0.195635683096478,0.243019197207679,0.0221631205673759
"YIL133C",2259.49823633157,2054.5,774.966383974114,1311.75,0.342981628183219,0.377204372827508,0.638476514967145,0
"YDR099W",563.767936226749,499,206.59991743923,132,0.366462695310389,0.41402789065978,0.264529058116232,0.157661647475642
"YJR094W-A",2085.43402777778,2186.5,717.660846322373,491.75,0.344130208274729,0.328223574810141,0.224902812714384,0.105034722222222
"YGR180C",231.507129572226,117,291.624183661582,138,1.25967690152973,2.49251439026993,1.17948717948718,0.137011779293242
"YGR192C",16002.2165932452,13760.5,7226.53758530246,5498,0.451596036286179,0.525165334493838,0.399549434976927,0.127753303964758
"YOR234C",1392.92049883087,1376,319.10251470567,287.5,0.229088820915125,0.231905897315167,0.208938953488372,0.0444271239282931
"YKL216W",1297.79194001874,1150,458.633004119643,547,0.353394862440754,0.398811307930125,0.475652173913043,0.0309278350515464
"YDR226W",1160.43727598566,932,459.201522443726,791,0.395714212173756,0.492705496184255,0.848712446351931,0
"YDL082W",2228.69893428064,1996.5,737.498320865114,560.5,0.330909801014985,0.369395602737348,0.280741297270223,0.143872113676732
"YJR009C",2468.93942731278,2007.5,1261.34575219505,1363.25,0.510885661365905,0.62831668851559,0.679078455790785,0.0517621145374449
"YFL034C-A",492.680834001604,506,201.953884752334,333,0.409908140960232,0.399118349312914,0.658102766798419,0.000801924619085806
"YPR074C",126.342070773263,91,103.103797576961,77,0.81606860601481,1.13300876458199,0.846153846153846,0.0845347313237221
"YBL027W",2914.5639019301,2806,741.91798619319,677,0.254555402165612,0.264404129078115,0.241268709907341,0.0662493479394888
"YHR114W",56.6704464918498,52,15.9314078843142,21,0.281123740336252,0.306373228544505,0.403846153846154,0.0163004961020553
"YDR388W",123.36747759283,124,23.4532687003724,24,0.190109007316978,0.189139263712681,0.193548387096774,0.0320102432778489
"YMR012W",346.193927522037,321,105.005572225397,71,0.303314309921604,0.327120162695939,0.221183800623053,0.114593535749265
"YNL138W",335.110316649642,299,123.865923315889,198,0.369627305283443,0.414267302059828,0.662207357859532,0.00204290091930541
"YIL034C",121.27311370882,112,45.9924463013641,38,0.379246849485477,0.410646841976466,0.339285714285714,0.144527098831031
"YOL016C",60.3197879858657,57,18.3492070998409,14,0.304198799640021,0.321915914032297,0.245614035087719,0.0742049469964664
"YLR380W",183.033605812897,199,59.2786007424795,110,0.323867305565055,0.297882415791354,0.552763819095477,0
"YDR300C",153.277165354331,135,52.6420958768732,44,0.343443824493887,0.389941450939801,0.325925925925926,0.135433070866142
"YLR433C",76.075511644319,77,26.0727594529262,45,0.342722104516707,0.338607265622418,0.584415584415584,0.000705716302046577
"YPL184C",53.1411554496724,49,16.1682812054502,9,0.30425159311341,0.329964922560209,0.183673469387755,0.134008338296605
"YDL171C",179.281045751634,184,50.6619214525123,62,0.282583812695384,0.275336529633219,0.33695652173913,0.00840336134453781
"YLR257W",158.656960227273,144,98.5242469111895,85.25,0.620989125028336,0.684196159105483,0.592013888888889,0.0838068181818182
"YGR241C",34.9293344289236,34,7.68146279633764,8,0.21991437632367,0.225925376362872,0.235294117647059,0.0427280197206245
"YPL239W",136.257685352622,135,25.7483393072446,27,0.188967978140905,0.190728439312923,0.2,0.0289330922242315
"YBR200W",33.4516971279373,33,5.21477474121063,6,0.155889691373999,0.158023477006383,0.181818181818182,0.0182767624020888
"YGL110C",42.7729772191673,40,10.1418938731186,11,0.237109842065747,0.253547346827964,0.275,0.0549882168106834
