Node 1,Node 2,Weight
613,393,1
613,394,1
707,394,-1
826,394,-1
1077,394,1
1422,394,-1
1424,394,1
1625,394,1
1688,394,1
1787,394,1
2020,394,1
120,395,1
258,395,1
396,395,1
489,395,1
613,395,1
753,395,1
883,395,1
1001,395,1
1403,395,1
1422,395,-1
1711,395,1
1720,395,1
1777,395,1
1787,395,1
2020,395,-1
2133,395,1
2312,395,1
2485,395,1
120,396,1
258,396,1
273,396,1
613,396,1
826,396,-1
1029,396,1
1077,396,1
1131,396,1
1330,396,1
1777,396,1
1923,396,1
1996,396,1
2168,396,1
273,397,1
1077,397,1
1390,397,1
1422,397,1
1801,397,1
2226,397,1
2470,397,1
1194,398,1
1625,398,1
1688,398,1
2020,398,1
489,399,1
575,399,1
613,399,-1
797,399,1
1330,399,1
1787,399,1
2016,400,1
2020,400,1
2348,400,1
273,401,1
1422,401,1
1688,401,1
1787,401,1
2020,401,1
288,402,-1
444,402,1
467,402,1
489,402,1
613,402,1
707,402,-1
832,402,-1
1330,402,1
1455,402,1
1587,402,1
1688,402,1
1787,402,1
1793,402,1
1946,402,-1
2020,402,1
2226,402,1
2355,402,1
273,403,1
613,403,1
826,404,1
1330,405,1
2020,405,1
1330,406,1
1787,406,1
2020,406,1
273,407,1
613,407,1
1787,407,1
2168,407,1
2335,407,1
2392,407,1
1096,408,1
1625,408,1
1688,408,1
1711,408,1
2016,408,-1
2020,408,1
2226,408,1
2348,408,1
753,409,1
1148,409,1
1330,409,1
753,410,1
2059,410,1
474,411,1
1403,411,1
1711,411,1
1787,411,1
1838,411,1
273,412,1
613,412,1
826,412,1
1422,412,1
24,413,1
42,413,1
258,413,1
273,413,1
489,413,1
797,413,1
1116,413,1
1330,413,1
1424,413,-1
1625,413,-1
1787,413,1
2226,413,1
2312,413,1
273,414,1
489,414,1
613,414,1
826,414,1
1077,414,1
1330,414,1
1383,414,1
1390,414,1
1403,414,1
1422,414,-1
1707,414,-1
1777,414,1
1787,414,1
1838,414,-1
