ID,Gene_Name,In_Degree,Out_Degree
806,YGL030W,5,0
807,YGL031C,4,0
808,YGL035C,0,11
809,YGL037C,11,0
810,YGL038C,6,0
811,YGL039W,5,0
812,YGL040C,1,0
813,YGL043W,1,0
814,YGL047W,2,0
815,YGL048C,1,0
816,YGL050W,2,0
817,YGL054C,8,0
818,YGL055W,12,0
819,YGL056C,10,0
820,YGL058W,7,0
821,YGL059W,2,0
822,YGL062W,19,0
823,YGL068W,6,0
824,YGL070C,1,0
825,YGL071W,2,37
826,YGL073W,0,370
827,YGL076C,4,0
828,YGL077C,5,0
829,YGL078C,3,0
830,YGL084C,3,0
831,YGL087C,3,0
832,YGL096W,11,22
833,YGL097W,4,0
834,YGL100W,8,0
835,YGL101W,7,0
836,YGL103W,9,0
837,YGL105W,4,0
838,YGL115W,6,0
839,YGL117W,2,0
840,YGL120C,5,0
841,YGL121C,3,0
842,YGL122C,1,0
843,YGL123W,7,0
844,YGL127C,5,0
845,YGL135W,9,0
846,YGL136C,2,0
847,YGL145W,3,0
848,YGL147C,6,0
849,YGL148W,9,0
850,YGL154C,2,0
851,YGL157W,6,0
852,YGL159W,3,0
853,YGL161C,4,0
854,YGL166W,3,2
855,YGL167C,4,0
856,YGL171W,2,0
857,YGL173C,1,0
858,YGL181W,2,0
859,YGL186C,3,0
860,YGL187C,3,0
861,YGL189C,6,0
862,YGL190C,3,0
863,YGL191W,3,0
864,YGL195W,3,0
865,YGL196W,3,0
866,YGL198W,4,0
867,YGL200C,3,0
868,YGL202W,6,0
869,YGL207W,1,0
870,YGL208W,2,0
871,YGL209W,3,1
872,YGL213C,1,0
873,YGL215W,4,0
874,YGL219C,5,0
875,YGL221C,2,0
876,YGL224C,2,0
877,YGL225W,4,0
879,YGL228W,4,0
880,YGL231C,1,0
881,YGL232W,1,0
882,YGL234W,7,0
883,YGL237C,1,50
884,YGL238W,3,0
885,YGL242C,2,0
886,YGL245W,3,0
887,YGL246C,2,0
888,YGL250W,1,0
889,YGL252C,4,1
890,YGL253W,12,0
891,YGL256W,4,0
892,YGR002C,3,0
893,YGR007W,2,0
894,YGR008C,12,0
895,YGR014W,3,0
896,YGR017W,1,0
897,YGR019W,10,0
898,YGR020C,6,0
899,YGR027C,5,0
900,YGR028W,2,0
901,YGR031W,2,0
902,YGR032W,9,0
903,YGR033C,8,0
904,YGR034W,5,0
905,YGR037C,10,0
906,YGR038W,1,0
907,YGR041W,3,0
908,YGR043C,5,0
909,YGR044C,0,3
910,YGR046W,2,0
911,YGR048W,3,0
912,YGR049W,2,0
913,YGR054W,2,0
914,YGR055W,6,0
915,YGR060W,11,0
916,YGR061C,4,0
917,YGR065C,1,0
918,YGR067C,6,0
919,YGR074W,1,0
920,YGR077C,1,0
921,YGR078C,3,0
922,YGR079W,3,0
923,YGR080W,2,0
924,YGR082W,4,0
925,YGR084C,2,0
926,YGR085C,5,0
927,YGR086C,18,0
928,YGR088W,11,0
929,YGR094W,9,0
930,YGR102C,1,0
931,YGR103W,10,0
932,YGR105W,2,0
933,YGR106C,5,0
934,YGR108W,13,0
935,YGR110W,4,0
936,YGR111W,3,0
937,YGR116W,2,0
938,YGR118W,5,0
939,YGR121C,6,0
940,YGR122W,7,0
941,YGR123C,1,0
942,YGR124W,3,0
943,YGR125W,8,0
944,YGR128C,1,0
945,YGR130C,10,0
946,YGR132C,6,0
947,YGR135W,3,0
948,YGR141W,3,0
949,YGR142W,5,0
950,YGR147C,3,0
951,YGR148C,4,0
952,YGR155W,11,0
953,YGR157W,7,0
954,YGR158C,5,0
955,YGR159C,15,0
956,YGR161C,7,0
957,YGR167W,5,0
958,YGR172C,3,0
959,YGR173W,4,0
960,YGR174C,3,0
961,YGR175C,9,0
962,YGR178C,6,0
963,YGR180C,12,0
964,YGR181W,3,0
965,YGR183C,7,0
966,YGR185C,2,0
967,YGR186W,3,0
968,YGR187C,2,0
969,YGR189C,18,0
970,YGR191W,3,0
971,YGR192C,5,0
972,YGR193C,4,0
973,YGR195W,2,0
974,YGR198W,3,0
975,YGR200C,1,0
976,YGR201C,3,0
977,YGR202C,3,0
978,YGR203W,7,0
979,YGR204W,12,0
980,YGR209C,8,0
981,YGR210C,1,0
982,YGR211W,3,0
983,YGR214W,9,0
984,YGR215W,2,0
985,YGR218W,3,0
986,YGR220C,2,0
987,YGR223C,2,0
988,YGR229C,1,0
989,YGR230W,5,0
990,YGR231C,2,0
991,YGR232W,4,0
992,YGR233C,5,0
993,YGR234W,17,0
994,YGR235C,3,0
995,YGR240C,5,0
996,YGR243W,8,0
997,YGR244C,2,0
998,YGR245C,2,0
999,YGR246C,2,0
1000,YGR248W,15,0
1001,YGR249W,0,27
1002,YGR252W,1,0
1003,YGR253C,6,0
1004,YGR254W,11,0
1005,YGR255C,4,0
1006,YGR256W,7,0
1007,YGR260W,6,0
1008,YGR262C,1,0
1009,YGR264C,8,0
1010,YGR267C,2,0
1011,YGR279C,14,0
1012,YGR280C,6,0
1013,YGR282C,10,0
1014,YGR284C,4,0
1015,YGR285C,9,0
1016,YGR286C,3,0
1017,YGR295C,5,0
1018,YHL001W,10,0
1019,YHL002W,1,0
1020,YHL003C,3,0
1021,YHL004W,5,0
1022,YHL008C,2,0
1024,YHL011C,6,0
1025,YHL013C,1,0
1026,YHL020C,2,4
1027,YHL021C,9,0
1028,YHL025W,3,0
1029,YHL027W,7,25
1030,YHL031C,1,0
1031,YHL032C,5,0
1032,YHL033C,8,0
1033,YHL034C,6,0
1034,YHL036W,6,0
1035,YHL048W,5,0
1036,YHR001W,2,0
